
trial=13 fixedA=[ 1, 10 ] fixedB=[ 1, 8 ] overlap=1 isGen=false
trial=47 fixedA=[ 4, 12 ] fixedB=[ 2, 5 ] overlap=0 isGen=false
trial=78 fixedA=[ 11, 12 ] fixedB=[ 12, 14 ] overlap=1 isGen=false
trial=104 fixedA=[ 6, 9 ] fixedB=[ 5, 7 ] overlap=0 isGen=false
trial=119 fixedA=[ 2, 11 ] fixedB=[ 4, 6 ] overlap=0 isGen=false
trial=143 fixedA=[ 6, 13 ] fixedB=[ 9, 14 ] overlap=0 isGen=false
trial=182 fixedA=[ 3, 9 ] fixedB=[ 1, 6 ] overlap=0 isGen=false
trial=326 fixedA=[ 8, 11 ] fixedB=[ 8, 12 ] overlap=1 isGen=false
trial=333 fixedA=[ 2, 13 ] fixedB=[ 4, 6 ] overlap=0 isGen=false
trial=353 fixedA=[ 5, 12 ] fixedB=[ 7, 13 ] overlap=0 isGen=false
trial=405 fixedA=[ 6, 13 ] fixedB=[ 2, 7 ] overlap=0 isGen=false
trial=417 fixedA=[ 1, 14 ] fixedB=[ 3, 14 ] overlap=1 isGen=false
trial=435 fixedA=[ 12, 14 ] fixedB=[ 1, 8 ] overlap=0 isGen=false
trial=468 fixedA=[ 11, 13 ] fixedB=[ 2, 8 ] overlap=0 isGen=false
trial=497 fixedA=[ 12, 14 ] fixedB=[ 9, 13 ] overlap=0 isGen=false
trial=604 fixedA=[ 5, 7 ] fixedB=[ 3, 8 ] overlap=0 isGen=false
trial=608 fixedA=[ 1, 5 ] fixedB=[ 7, 9 ] overlap=0 isGen=false
trial=685 fixedA=[ 4, 8 ] fixedB=[ 6, 9 ] overlap=0 isGen=false
trial=702 fixedA=[ 6, 8 ] fixedB=[ 8, 14 ] overlap=1 isGen=false
trial=740 fixedA=[ 13, 14 ] fixedB=[ 5, 7 ] overlap=0 isGen=false
trial=785 fixedA=[ 6, 11 ] fixedB=[ 3, 9 ] overlap=0 isGen=false
trial=837 fixedA=[ 5, 11 ] fixedB=[ 1, 6 ] overlap=0 isGen=false
trial=847 fixedA=[ 12, 13 ] fixedB=[ 1, 10 ] overlap=0 isGen=false
trial=915 fixedA=[ 3, 5 ] fixedB=[ 4, 6 ] overlap=0 isGen=false
trial=920 fixedA=[ 5, 6 ] fixedB=[ 3, 7 ] overlap=0 isGen=false
trial=939 fixedA=[ 9, 14 ] fixedB=[ 10, 13 ] overlap=0 isGen=false
trial=968 fixedA=[ 9, 12 ] fixedB=[ 3, 7 ] overlap=0 isGen=false
trial=969 fixedA=[ 1, 13 ] fixedB=[ 6, 14 ] overlap=0 isGen=false
trial=1002 fixedA=[ 1, 6 ] fixedB=[ 9, 10 ] overlap=0 isGen=false
trial=1049 fixedA=[ 11, 14 ] fixedB=[ 1, 4 ] overlap=0 isGen=false
trial=1055 fixedA=[ 3, 8 ] fixedB=[ 1, 8 ] overlap=1 isGen=false
trial=1101 fixedA=[ 3, 7 ] fixedB=[ 1, 7 ] overlap=1 isGen=false
trial=1139 fixedA=[ 3, 11 ] fixedB=[ 4, 12 ] overlap=0 isGen=false
trial=1189 fixedA=[ 2, 10 ] fixedB=[ 2, 7 ] overlap=1 isGen=false
trial=1212 fixedA=[ 9, 10 ] fixedB=[ 13, 14 ] overlap=0 isGen=false
trial=1218 fixedA=[ 5, 6 ] fixedB=[ 4, 9 ] overlap=0 isGen=false
trial=1326 fixedA=[ 8, 9 ] fixedB=[ 2, 6 ] overlap=0 isGen=false
trial=1361 fixedA=[ 7, 13 ] fixedB=[ 6, 10 ] overlap=0 isGen=false
trial=1394 fixedA=[ 4, 8 ] fixedB=[ 5, 7 ] overlap=0 isGen=false
trial=1407 fixedA=[ 7, 14 ] fixedB=[ 3, 6 ] overlap=0 isGen=false
trial=1409 fixedA=[ 1, 10 ] fixedB=[ 3, 10 ] overlap=1 isGen=false
trial=1454 fixedA=[ 9, 12 ] fixedB=[ 2, 3 ] overlap=0 isGen=false
trial=1517 fixedA=[ 11, 13 ] fixedB=[ 7, 12 ] overlap=0 isGen=false
trial=1642 fixedA=[ 5, 6 ] fixedB=[ 1, 5 ] overlap=1 isGen=false
trial=1783 fixedA=[ 6, 9 ] fixedB=[ 2, 12 ] overlap=0 isGen=false
trial=1805 fixedA=[ 9, 11 ] fixedB=[ 1, 7 ] overlap=0 isGen=false
trial=1878 fixedA=[ 10, 14 ] fixedB=[ 1, 9 ] overlap=0 isGen=false
trial=1964 fixedA=[ 4, 9 ] fixedB=[ 1, 11 ] overlap=0 isGen=false
trial=2004 fixedA=[ 9, 10 ] fixedB=[ 6, 12 ] overlap=0 isGen=false
trial=2054 fixedA=[ 1, 14 ] fixedB=[ 3, 8 ] overlap=0 isGen=false
trial=2104 fixedA=[ 6, 8 ] fixedB=[ 10, 13 ] overlap=0 isGen=false
trial=2109 fixedA=[ 3, 8 ] fixedB=[ 6, 12 ] overlap=0 isGen=false
trial=2158 fixedA=[ 12, 13 ] fixedB=[ 7, 11 ] overlap=0 isGen=false
trial=2373 fixedA=[ 4, 7 ] fixedB=[ 3, 12 ] overlap=0 isGen=false
trial=2384 fixedA=[ 4, 6 ] fixedB=[ 5, 9 ] overlap=0 isGen=false
trial=2517 fixedA=[ 11, 14 ] fixedB=[ 6, 12 ] overlap=0 isGen=false
trial=2531 fixedA=[ 2, 7 ] fixedB=[ 4, 13 ] overlap=0 isGen=false
trial=2607 fixedA=[ 4, 8 ] fixedB=[ 5, 9 ] overlap=0 isGen=false
trial=2642 fixedA=[ 6, 11 ] fixedB=[ 8, 11 ] overlap=1 isGen=false
trial=2672 fixedA=[ 5, 13 ] fixedB=[ 3, 9 ] overlap=0 isGen=false
trial=2702 fixedA=[ 11, 14 ] fixedB=[ 12, 14 ] overlap=1 isGen=false
