window_id,type,n,N_ord,N_ord_factor_type,exponent_band,G_order,kernel_order,kernel_struct,kernel_abelian,kernel_solvable,derived_length,xi_eq_centralizer,E_eq_6_An,mcov_status,N_prime_partner,note,source_cert
P-WALL-2,wall(Dih-B4),24,19,odd-prime-power,UNKNOWN,UNKNOWN,2280,C19 x S5,UNKNOWN,False,UNKNOWN,True,True,UNKNOWN,,P-WALL-2 / mathematician_handwritten,search/certs/wall2_cert_20260731.json
P-WALL-28,wall(Dih-B4),28,23,odd-prime-power,UNKNOWN,UNKNOWN,2760,C23 x S5,UNKNOWN,False,-1,True,True,UNKNOWN,,P-WALL-28 / probe11_handwritten_hexagon,search/certs/wall28_cert_20260731.json
P-WALL-36,wall(Dih-B4),36,31,odd-prime-power,UNKNOWN,UNKNOWN,3720,C31 x S5,UNKNOWN,False,-1,True,True,UNKNOWN,,P-WALL-36 / probe11_handwritten_hexagon,search/certs/wall36_cert_20260731_r2.json
P-WALL-37,wall(Dih-B4),37,31,odd-prime-power,UNKNOWN,UNKNOWN,22320,C31 x S6,UNKNOWN,False,-1,True,True,UNKNOWN,,P-WALL-37 / probe11_handwritten_hexagon,search/certs/wall37_cert_20260731_r2.json
P-WALL-40,wall(Dih-B4),40,37,odd-prime-power,UNKNOWN,UNKNOWN,222,C37 x S3,UNKNOWN,True,2,True,True,UNKNOWN,,P-WALL-40 / probe11_handwritten_hexagon,search/certs/wall40_cert_20260801.json
P-WALL-45,wall(Dih-B4),45,41,odd-prime-power,UNKNOWN,UNKNOWN,984,C41 x S4,UNKNOWN,True,3,True,True,UNKNOWN,,P-WALL-45 / probe11_handwritten_hexagon,search/certs/wall45_cert_20260801.json
W-CENT-B,wall(Dih-B4),18,9,odd-prime-power,UNKNOWN,UNKNOWN,162,C9 x D18,UNKNOWN,True,UNKNOWN,True,True,UNKNOWN,,W-CENT-B / mathematician_handwritten,search/certs/centb_cert_20260731.json
T5-dl3,wall(Dih-B4),21,17,odd-prime-power,UNKNOWN,UNKNOWN,408,C17 x S4,UNKNOWN,True,3,True,True,UNKNOWN,,T5-dl3 / mathematician_handwritten,search/certs/dl3_cert_20260731.json
W-D-A16-11a,metabelian-pincer(band1),11,UNKNOWN,UNKNOWN,UNKNOWN,880,88,C11 x D8,False,TRUE(metabelian band),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,K_struct=C11 x D8 / Kab_struct=None,search/certs/a16_kernel_structure_20260729.json
W-D-A18-13a,metabelian-pincer(band1),13,UNKNOWN,UNKNOWN,UNKNOWN,1248,104,C13 x D8,False,TRUE(metabelian band),2,UNKNOWN,UNKNOWN,UNKNOWN,,K_struct=C13 x D8 / Kab_struct=C26 x C2,search/certs/a18_kernel_structure_20260729.json
W-D-A20-15a,metabelian-pincer(band1),15,UNKNOWN,UNKNOWN,UNKNOWN,960,120,C15 x D8,False,TRUE(metabelian band),2,UNKNOWN,UNKNOWN,UNKNOWN,,K_struct=C15 x D8 / Kab_struct=C30 x C2,search/certs/a20_kernel_structure_20260729.json
